"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","22n","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4",""
"2","C3, C9, C14","3","15n","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4",""
"3","C4, C5","2","220n","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4",""
"4","C6, C7, C8","3","10n","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4",""
"5","C10, C15","2","47n","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4",""
"6","C11, C12, C13, C16, C17, C18","6","100n","Capacitor_THT:C_Rect_L10.0mm_W3.0mm_P7.50mm_MKS4",""
"7","C19, C20, C21, C22","4","100p","Capacitor_SMD:C_0805_2012Metric",""
"8","C23, C24, C25, C26, C27, C28, C29, C30","8","100n","Capacitor_SMD:C_1206_3216Metric",""
"9","C31, C32","2","10u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"10","C33, C40","2","22u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"11","C34, C35, C36, C37, C38, C39","6","100u","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"12","J1","1","IN","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HFD2_Horizontal",""
"13","J2","1","OUT","Connector_Audio:Jack_6.35mm_Neutrik_NMJ4HFD2_Horizontal",""
"14","R1, R33","2","1k8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R2, R3","2","620R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R4","1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R5, R7, R15, R18","4","2k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","R6, R8","2","3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","R9, R11","2","6k8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"20","R10, R29","2","12k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"21","R12","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22","R13","1","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"23","R14","1","56k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"24","R16, R17","2","1k5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"25","R19, R27","2","270R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"26","R20, R28","2","390R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"27","R21, R22, R23, R24, R25, R26","6","4M7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"28","R30","1","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"29","R31","1","1k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"30","R32","1","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"31","R34","1","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"32","R35","1","8k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"33","RV1","1","50k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"34","RV2, RV5","2","10k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"35","RV3","1","5k","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal",""
"36","RV4","1","10k","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal",""
"37","RV6","1","50k","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Horizontal",""
"38","SW1","1","SW_Rotary3x4","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal",""
"39","U1, U3, U4","3","NE5532","Package_DIP:DIP-8-16_W7.62mm",""
"40","U2","1","LM4562","Package_DIP:DIP-8-16_W7.62mm",""
